JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
OD;OPERATIONS DIVERSES;080010001;20190831;63511000;CompteLib_0001;;;Non dispo;20190831;EcritureLib_0001;;1189,00;0,00;D;080010001;;
OD;OPERATIONS DIVERSES;080010001;20190831;44860000;CompteLib_0002;;;Non dispo;20190831;EcritureLib_0001;;0,00;1189,00;C;080010001;;
OD;OPERATIONS DIVERSES;080010002;20190831;21540000;CompteLib_0003;;;Non dispo;20190831;EcritureLib_0002;;0,00;52532,39;C;080010002;;
OD;OPERATIONS DIVERSES;080010002;20190831;28154000;CompteLib_0004;;;Non dispo;20190831;EcritureLib_0002;;44689,90;0,00;D;080010002;;
OD;OPERATIONS DIVERSES;080010002;20190831;67500000;CompteLib_0005;;;Non dispo;20190831;EcritureLib_0002;;7842,49;0,00;D;080010002;;
OD;OPERATIONS DIVERSES;080010003;20190831;21810000;CompteLib_0006;;;Non dispo;20190831;EcritureLib_0002;;0,00;954,77;C;080010003;;
OD;OPERATIONS DIVERSES;080010003;20190831;28181000;CompteLib_0007;;;Non dispo;20190831;EcritureLib_0002;;954,77;0,00;D;080010003;;
OD;OPERATIONS DIVERSES;080010004;20190831;21830000;CompteLib_0008;;;Non dispo;20190831;EcritureLib_0002;;0,00;3792,61;C;080010004;;
OD;OPERATIONS DIVERSES;080010004;20190831;28183000;CompteLib_0009;;;Non dispo;20190831;EcritureLib_0002;;3792,61;0,00;D;080010004;;
OD;OPERATIONS DIVERSES;080010005;20190831;69500000;CompteLib_0010;;;Non dispo;20190831;EcritureLib_0003;;230783,00;0,00;D;080010005;;
OD;OPERATIONS DIVERSES;080010005;20190831;44400000;CompteLib_0011;;;Non dispo;20190831;EcritureLib_0003;;0,00;230783,00;C;080010005;;
OD;OPERATIONS DIVERSES;080020001;20190831;42700000;CompteLib_0012;;;Non dispo;20190831;EcritureLib_0004;;0,00;191,34;C;080020001;;
OD;OPERATIONS DIVERSES;080020001;20190831;42500000;CompteLib_0013;;;Non dispo;20190831;EcritureLib_0004;;191,34;0,00;D;080020001;;
RB;REPRISE BALANCE;080010001;20190831;10130000;CompteLib_0014;;;Non dispo;20190831;EcritureLib_0005;;0,00;300000,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;10611000;CompteLib_0015;;;Non dispo;20190831;EcritureLib_0006;;0,00;30000,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;10680000;CompteLib_0016;;;Non dispo;20190831;EcritureLib_0007;;0,00;334152,87;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;16400000;CompteLib_0017;;;Non dispo;20190831;EcritureLib_0008;;0,00;5181,84;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;20500000;CompteLib_0018;;;Non dispo;20190831;EcritureLib_0009;;5964,00;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;20700000;CompteLib_0019;;;Non dispo;20190831;EcritureLib_0010;;22867,35;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;21540000;CompteLib_0003;;;Non dispo;20190831;EcritureLib_0011;;887183,33;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;21810000;CompteLib_0006;;;Non dispo;20190831;EcritureLib_0012;;219341,70;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;21820000;CompteLib_0020;;;Non dispo;20190831;EcritureLib_0013;;390560,72;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;21830000;CompteLib_0008;;;Non dispo;20190831;EcritureLib_0014;;27876,78;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;21840000;CompteLib_0021;;;Non dispo;20190831;EcritureLib_0015;;22668,02;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;27100001;CompteLib_0022;;;Non dispo;20190831;EcritureLib_0016;;10291,51;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;27500001;CompteLib_0023;;;Non dispo;20190831;EcritureLib_0017;;8963,76;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28050000;CompteLib_0024;;;Non dispo;20190831;EcritureLib_0018;;0,00;5964,00;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28154000;CompteLib_0004;;;Non dispo;20190831;EcritureLib_0019;;0,00;715425,61;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28181000;CompteLib_0007;;;Non dispo;20190831;EcritureLib_0020;;0,00;217579,92;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28182000;CompteLib_0025;;;Non dispo;20190831;EcritureLib_0021;;0,00;380551,64;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28183000;CompteLib_0009;;;Non dispo;20190831;EcritureLib_0022;;0,00;23337,22;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;28184000;CompteLib_0026;;;Non dispo;20190831;EcritureLib_0023;;0,00;22668,02;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;32000000;CompteLib_0027;;;Non dispo;20190831;EcritureLib_0024;;101698,55;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;31000000;CompteLib_0028;;;Non dispo;20190831;EcritureLib_0025;;156734,10;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;40100000;CompteLib_0029;40100000;FOURNISSEURS ;Non dispo;20190831;EcritureLib_0026;;0,00;268821,18;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;40810000;CompteLib_0030;;;Non dispo;20190831;EcritureLib_0027;;0,00;31317,98;C;080010001;;
RB;REPRISE BALANCE;080010001;20190831;40980000;CompteLib_0031;;;Non dispo;20190831;EcritureLib_0028;;2108,78;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;41100000;CompteLib_0032;41100000;CLIENTS ;Non dispo;20190831;EcritureLib_0029;;695028,86;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;42500000;CompteLib_0013;;;Non dispo;20190831;EcritureLib_0030;;39,04;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;42500000;CompteLib_0013;;;Non dispo;20190831;EcritureLib_0031;;400,00;0,00;D;080010001;;
RB;REPRISE BALANCE;080010001;20190831;42500000;CompteLib_0013;;;Non dispo;20190831;EcritureLib_0031;;100,00;0,00;D;080010001;;
