JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
AN;A-nouveaux;070010001;20240701;12000000;CompteLib_0001;;;Non dispo;20240701;EcritureLib_0001;;0,00;12216,71;C;070010001;;
AN;A-nouveaux;070010001;20240701;10130000;CompteLib_0002;;;Non dispo;20240701;EcritureLib_0002;;0,00;5000,00;C;070010001;;
AN;A-nouveaux;070010001;20240701;11900000;CompteLib_0003;;;Non dispo;20240701;EcritureLib_0002;;23110,30;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;16400000;CompteLib_0004;;;Non dispo;20240701;EcritureLib_0002;;0,00;1636712,22;C;070010001;;
AN;A-nouveaux;070010001;20240701;16410000;CompteLib_0005;;;Non dispo;20240701;EcritureLib_0002;;0,00;360616,20;C;070010001;;
AN;A-nouveaux;070010001;20240701;20120000;CompteLib_0006;;;Non dispo;20240701;EcritureLib_0002;;72200,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;20500000;CompteLib_0007;;;Non dispo;20240701;EcritureLib_0002;;13800,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;20800000;CompteLib_0008;;;Non dispo;20240701;EcritureLib_0002;;15000,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21350000;CompteLib_0009;;;Non dispo;20240701;EcritureLib_0002;;1315625,24;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21540000;CompteLib_0010;;;Non dispo;20240701;EcritureLib_0002;;614581,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21550000;CompteLib_0011;;;Non dispo;20240701;EcritureLib_0002;;18396,22;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21810000;CompteLib_0012;;;Non dispo;20240701;EcritureLib_0002;;187912,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21831000;CompteLib_0013;;;Non dispo;20240701;EcritureLib_0002;;14107,41;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;21840000;CompteLib_0014;;;Non dispo;20240701;EcritureLib_0002;;234717,67;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;27500000;CompteLib_0015;;;Non dispo;20240701;EcritureLib_0002;;50000,00;0,00;D;070010001;;
AN;A-nouveaux;070010001;20240701;28010000;CompteLib_0016;;;Non dispo;20240701;EcritureLib_0002;;0,00;3984,81;C;070010001;;
AN;A-nouveaux;070010001;20240701;28135000;CompteLib_0017;;;Non dispo;20240701;EcritureLib_0002;;0,00;47848,06;C;070010001;;
AN;A-nouveaux;070010001;20240701;28150000;CompteLib_0018;;;Non dispo;20240701;EcritureLib_0002;;0,00;660,61;C;070010001;;
AN;A-nouveaux;070010001;20240701;28154000;CompteLib_0019;;;Non dispo;20240701;EcritureLib_0002;;0,00;32167,72;C;070010001;;
AN;A-nouveaux;070010001;20240701;28181000;CompteLib_0020;;;Non dispo;20240701;EcritureLib_0002;;0,00;7694,07;C;070010001;;
AN;A-nouveaux;070010001;20240701;28183000;CompteLib_0021;;;Non dispo;20240701;EcritureLib_0002;;0,00;925,27;C;070010001;;
AN;A-nouveaux;070010001;20240701;28184000;CompteLib_0022;;;Non dispo;20240701;EcritureLib_0002;;0,00;11709,71;C;070010001;;
AN;A-nouveaux;070010001;20240701;31000000;CompteLib_0023;;;Non dispo;20240701;EcritureLib_0002;;19918,20;0,00;D;070010001;;
