JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
AC;Achats;AC/1;20220729;40100000;CompteLib_0001;FBRASSERIE;BRASSERIE TANDEM;22G245;20220729;EcritureLib_0001;20230615;0,00;1786,80;C;AC/1;Q;20230331
AC;Achats;AC/1;20220729;44566000;CompteLib_0002;;;22G245;20220729;EcritureLib_0001;20230615;297,80;0,00;D;AC/1;;
AC;Achats;AC/1;20220729;61320000;CompteLib_0003;;;22G245;20220729;EcritureLib_0001;20230615;889,00;0,00;D;AC/1;;
AC;Achats;AC/1;20220729;61400000;CompteLib_0004;;;22G245;20220729;EcritureLib_0001;20230615;258,00;0,00;D;AC/1;;
AC;Achats;AC/1;20220729;60611000;CompteLib_0005;;;22G245;20220729;EcritureLib_0001;20230615;342,00;0,00;D;AC/1;;
AC;Achats;AC/2;20220902;60100000;CompteLib_0006;;;22I282;20220902;EcritureLib_0002;20230615;78,65;0,00;D;AC/2;;
AC;Achats;AC/2;20220902;40100000;CompteLib_0001;FLAMBELIN;LAMBELIN;22I282;20220902;EcritureLib_0002;20230615;0,00;78,65;C;AC/2;H;20230427
AT;Achats Tiime;AT/118;20220101;61353000;CompteLib_0007;;;22A146;20220101;EcritureLib_0003;20230615;0,24;0,00;D;AT/118;;
AT;Achats Tiime;AT/118;20220101;44566000;CompteLib_0002;;;22A146;20220101;EcritureLib_0003;20230615;0,05;0,00;D;AT/118;;
AT;Achats Tiime;AT/118;20220101;40100000;CompteLib_0001;FZENCHEF;ZENCHEF;22A146;20220101;EcritureLib_0003;20230615;0,00;0,29;C;AT/118;N;20230202
AT;Achats Tiime;AT/119;20220103;62600000;CompteLib_0008;;;22A2;20220103;EcritureLib_0004;20230615;4,95;0,00;D;AT/119;;
AT;Achats Tiime;AT/119;20220103;40100000;CompteLib_0001;FPOSTE;LA POSTE;22A2;20220103;EcritureLib_0004;20230615;0,00;4,95;C;AT/119;B;20230126
AT;Achats Tiime;AT/120;20220104;60100000;CompteLib_0006;;;22A147;20220104;EcritureLib_0005;20230615;149,28;0,00;D;AT/120;;
AT;Achats Tiime;AT/120;20220104;44566000;CompteLib_0002;;;22A147;20220104;EcritureLib_0005;20230615;8,21;0,00;D;AT/120;;
AT;Achats Tiime;AT/120;20220104;40100000;CompteLib_0001;FMARCOVA;MARCOVA;22A147;20220104;EcritureLib_0005;20230615;0,00;157,49;C;AT/120;B;20230331
AT;Achats Tiime;AT/121;20220105;60100000;CompteLib_0006;;;22A149;20220105;EcritureLib_0005;20230615;102,06;0,00;D;AT/121;;
