JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
AN;A Nouveau;AN/1;20220101;10130000;CompteLib_0001;;;22A2;20220101;EcritureLib_0001;20230517;0,00;5000,00;C;AN/1;;
AN;A Nouveau;AN/1;20220101;10611000;CompteLib_0002;;;22A2;20220101;EcritureLib_0002;20230517;0,00;500,00;C;AN/1;;
AN;A Nouveau;AN/1;20220101;10680000;CompteLib_0003;;;22A2;20220101;EcritureLib_0003;20230517;0,00;6938,32;C;AN/1;;
AN;A Nouveau;AN/1;20220101;16420000;CompteLib_0004;;;22A2;20220101;EcritureLib_0004;20230517;0,00;64748,42;C;AN/1;;
AN;A Nouveau;AN/1;20220101;16440000;CompteLib_0005;;;22A2;20220101;EcritureLib_0005;20230517;0,00;15477,87;C;AN/1;;
AN;A Nouveau;AN/1;20220101;16450000;CompteLib_0006;;;22A2;20220101;EcritureLib_0006;20230517;0,00;50000,00;C;AN/1;;
AN;A Nouveau;AN/1;20220101;20100000;CompteLib_0007;;;22A2;20220101;EcritureLib_0007;20230517;37500,69;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;21540000;CompteLib_0008;;;22A2;20220101;EcritureLib_0008;20230517;19206,14;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;21810000;CompteLib_0009;;;22A2;20220101;EcritureLib_0009;20230517;60813,19;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;21830000;CompteLib_0010;;;22A2;20220101;EcritureLib_0010;20230517;4661,31;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;21840000;CompteLib_0011;;;22A2;20220101;EcritureLib_0011;20230517;28617,17;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;27500000;CompteLib_0012;;;22A2;20220101;EcritureLib_0012;20230517;7494,21;0,00;D;AN/1;;
AN;A Nouveau;AN/1;20220101;28010000;CompteLib_0013;;;22A2;20220101;EcritureLib_0013;20230517;0,00;26773,99;C;AN/1;;
