JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;ValidDate;MontantDebit;MontantCredit;Sens;RefEcriture;EcritureLet;DateLet
AC;Achats;;20221124;40100000;CompteLib_0001;FINTERFAST;INTERFAST;2023/04-012515;20221124;EcritureLib_0001;20250423;0,00;1218,17;C;;P;20250423
AC;Achats;;20221124;60100000;CompteLib_0002;;;2023/04-012515;20221124;EcritureLib_0001;20250423;1117,37;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;2023/04-012515;20221124;EcritureLib_0001;20250423;61,46;0,00;D;;A;20250423
AC;Achats;;20221124;60630000;CompteLib_0004;;;2023/04-012515;20221124;EcritureLib_0001;20250423;32,78;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;2023/04-012515;20221124;EcritureLib_0001;20250423;6,56;0,00;D;;A;20250423
AC;Achats;;20221124;40100000;CompteLib_0001;FDECUYPER;DECUYPER;2023/04-012531;20221124;EcritureLib_0002;20250423;0,00;199,40;C;;B;20250423
AC;Achats;;20221124;60100000;CompteLib_0002;;;2023/04-012531;20221124;EcritureLib_0002;20250423;189,00;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;2023/04-012531;20221124;EcritureLib_0002;20250423;10,40;0,00;D;;A;20250423
AC;Achats;;20221124;40100000;CompteLib_0001;FPROMOCASH;PROMOCASH;AC23000093;20221124;EcritureLib_0003;20250423;0,00;424,62;C;;B;20250423
AC;Achats;;20221124;60100000;CompteLib_0002;;;AC23000093;20221124;EcritureLib_0003;20250423;402,48;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;AC23000093;20221124;EcritureLib_0003;20250423;22,14;0,00;D;;A;20250423
AC;Achats;;20221124;40100000;CompteLib_0001;FHALLES;HALLES DU SUD;AC23000132;20221124;EcritureLib_0004;20250423;0,00;454,00;C;;O;20250423
AC;Achats;;20221124;60700000;CompteLib_0005;;;AC23000132;20221124;EcritureLib_0004;20250423;430,33;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;AC23000132;20221124;EcritureLib_0004;20250423;23,67;0,00;D;;A;20250423
AC;Achats;;20221124;40100000;CompteLib_0001;FFOODPLUS;FOODPLUS;2211-AC  -000005;20221124;EcritureLib_0005;20250423;0,00;338,66;C;;A;20250423
AC;Achats;;20221124;60100000;CompteLib_0002;;;2211-AC  -000005;20221124;EcritureLib_0005;20250423;321,00;0,00;D;;;
AC;Achats;;20221124;44566000;CompteLib_0003;;;2211-AC  -000005;20221124;EcritureLib_0005;20250423;17,66;0,00;D;;A;20250423
AC;Achats;;20221124;21500000;CompteLib_0006;;;2023/09-013662;20221124;EcritureLib_0006;20250423;10000,00;0,00;D;;;
AC;Achats;;20221124;45510000;CompteLib_0007;;;2023/09-013662;20221124;EcritureLib_0006;20250423;0,00;10000,00;C;;;
AC;Achats;;20221129;40100000;CompteLib_0001;FNORTAT;NORTAT;2023/04-012518;20221129;EcritureLib_0007;20250423;0,00;172,80;C;;B;20250423
AC;Achats;;20221129;60630000;CompteLib_0004;;;2023/04-012518;20221129;EcritureLib_0007;20250423;144,00;0,00;D;;;
AC;Achats;;20221129;44566000;CompteLib_0003;;;2023/04-012518;20221129;EcritureLib_0007;20250423;28,80;0,00;D;;A;20250423
AC;Achats;;20221130;40100000;CompteLib_0001;FINTERRESTO;INTERRESTO;AC23000086;20221130;EcritureLib_0001;20250423;0,00;932,33;C;;A;20250423
AC;Achats;;20221130;60100000;CompteLib_0002;;;AC23000086;20221130;EcritureLib_0001;20250423;849,81;0,00;D;;;
AC;Achats;;20221130;44566000;CompteLib_0003;;;AC23000086;20221130;EcritureLib_0001;20250423;46,74;0,00;D;;A;20250423
AC;Achats;;20221130;60630000;CompteLib_0004;;;AC23000086;20221130;EcritureLib_0001;20250423;29,82;0,00;D;;;
AC;Achats;;20221130;44566000;CompteLib_0003;;;AC23000086;20221130;EcritureLib_0001;20250423;5,96;0,00;D;;A;20250423
AC;Achats;;20221130;40100000;CompteLib_0001;FHALLES;HALLES DU SUD;AC23000123;20221130;EcritureLib_0004;20250423;0,00;405,08;C;;A;20250423
AC;Achats;;20221130;60700000;CompteLib_0005;;;AC23000123;20221130;EcritureLib_0004;20250423;383,96;0,00;D;;;
AC;Achats;;20221130;44566000;CompteLib_0003;;;AC23000123;20221130;EcritureLib_0004;20250423;21,12;0,00;D;;A;20250423
AC;Achats;;20221201;40100000;CompteLib_0001;FINTERRESTO;INTERRESTO;AC23000088;20221201;EcritureLib_0001;20250423;0,00;233,03;C;;B;20250423
AC;Achats;;20221201;60100000;CompteLib_0002;;;AC23000088;20221201;EcritureLib_0001;20250423;188,65;0,00;D;;;
AC;Achats;;20221201;44566000;CompteLib_0003;;;AC23000088;20221201;EcritureLib_0001;20250423;10,38;0,00;D;;A;20250423
AC;Achats;;20221201;60630000;CompteLib_0004;;;AC23000088;20221201;EcritureLib_0001;20250423;28,33;0,00;D;;;
AC;Achats;;20221201;44566000;CompteLib_0003;;;AC23000088;20221201;EcritureLib_0001;20250423;5,67;0,00;D;;A;20250423
AC;Achats;;20221201;40100000;CompteLib_0001;FACTION;ACTION;AC23000124;20221201;EcritureLib_0008;20250423;0,00;4,10;C;;A;20250423
AC;Achats;;20221201;60630000;CompteLib_0004;;;AC23000124;20221201;EcritureLib_0008;20250423;3,42;0,00;D;;;
AC;Achats;;20221201;44566000;CompteLib_0003;;;AC23000124;20221201;EcritureLib_0008;20250423;0,68;0,00;D;;A;20250423
AC;Achats;;20221205;40100000;CompteLib_0001;FINTERFAST;INTERFAST;AC23000087;20221205;EcritureLib_0001;20250423;0,00;182,49;C;;A;20250423
AC;Achats;;20221205;60100000;CompteLib_0002;;;AC23000087;20221205;EcritureLib_0001;20250423;172,98;0,00;D;;;
AC;Achats;;20221205;44566000;CompteLib_0003;;;AC23000087;20221205;EcritureLib_0001;20250423;9,51;0,00;D;;A;20250423
AC;Achats;;20221214;40100000;CompteLib_0001;FINTERRESTO;INTERRESTO;AC23000085;20221214;EcritureLib_0001;20250423;0,00;1421,01;C;;A;20250423
AC;Achats;;20221214;60100000;CompteLib_0002;;;AC23000085;20221214;EcritureLib_0001;20250423;1346,93;0,00;D;;;
AC;Achats;;20221214;44566000;CompteLib_0003;;;AC23000085;20221214;EcritureLib_0001;20250423;74,08;0,00;D;;A;20250423
AC;Achats;;20221214;40100000;CompteLib_0001;FMATCH;MATCH;AC23000126;20221214;EcritureLib_0009;20250423;0,00;17,59;C;;A;20250423
AC;Achats;;20221214;60630000;CompteLib_0004;;;AC23000126;20221214;EcritureLib_0009;20250423;14,66;0,00;D;;;
AC;Achats;;20221214;44566000;CompteLib_0003;;;AC23000126;20221214;EcritureLib_0009;20250423;2,93;0,00;D;;A;20250423
AC;Achats;;20221215;40100000;CompteLib_0001;FFLASH;FLASH TRAD;AC23000089;20221215;EcritureLib_0010;20250423;0,00;629,32;C;;A;20250423
AC;Achats;;20221215;60700000;CompteLib_0005;;;AC23000089;20221215;EcritureLib_0010;20250423;596,50;0,00;D;;;
AC;Achats;;20221215;44566000;CompteLib_0003;;;AC23000089;20221215;EcritureLib_0010;20250423;32,82;0,00;D;;A;20250423
AC;Achats;;20221215;40100000;CompteLib_0001;FHALLES;HALLES DU SUD;AC23000127;20221215;EcritureLib_0004;20250423;0,00;150,00;C;;B;20250423
AC;Achats;;20221215;60100000;CompteLib_0002;;;AC23000127;20221215;EcritureLib_0004;20250423;142,18;0,00;D;;;
AC;Achats;;20221215;44566000;CompteLib_0003;;;AC23000127;20221215;EcritureLib_0004;20250423;7,82;0,00;D;;A;20250423
AC;Achats;;20221216;40100000;CompteLib_0001;FHALLES;HALLES DU SUD;AC23000125;20221216;EcritureLib_0004;20250423;0,00;7,80;C;;B;20250423
AC;Achats;;20221216;60100000;CompteLib_0002;;;AC23000125;20221216;EcritureLib_0004;20250423;7,39;0,00;D;;;
AC;Achats;;20221216;44566000;CompteLib_0003;;;AC23000125;20221216;EcritureLib_0004;20250423;0,41;0,00;D;;A;20250423
